iter	Accuracy_SumError	Accuracy_SumWeight	Logloss_SumError	Logloss_SumWeight
101	3211	3876	2338.975748	3876
102	3211	3876	2331.799908	3876
103	3211	3876	2326.814746	3876
104	3211	3876	2323.674337	3876
105	3211	3876	2318.234586	3876
106	3211	3876	2314.795137	3876
107	3211	3876	2308.139302	3876
108	3211	3876	2304.940511	3876
109	3211	3876	2299.59181	3876
110	3211	3876	2297.384929	3876
111	3211	3876	2292.483744	3876
112	3211	3876	2289.76003	3876
113	3211	3876	2287.456868	3876
114	3211	3876	2280.37385	3876
115	3211	3876	2276.023299	3876
116	3211	3876	2271.561698	3876
117	3211	3876	2266.739102	3876
118	3211	3876	2261.279632	3876
119	3211	3876	2257.875745	3876
120	3211	3876	2253.508024	3876
121	3211	3876	2247.444709	3876
122	3211	3876	2244.594538	3876
123	3211	3876	2237.876223	3876
124	3211	3876	2231.189622	3876
125	3211	3876	2228.889974	3876
126	3211	3876	2223.281416	3876
127	3211	3876	2219.458539	3876
128	3211	3876	2213.669265	3876
129	3211	3876	2207.895705	3876
130	3211	3876	2203.633448	3876
131	3210	3876	2197.784005	3876
132	3211	3876	2192.820138	3876
133	3211	3876	2188.59126	3876
134	3211	3876	2184.394591	3876
135	3211	3876	2179.48134	3876
136	3211	3876	2177.281384	3876
137	3211	3876	2172.599351	3876
138	3212	3876	2170.501283	3876
139	3212	3876	2166.822153	3876
140	3212	3876	2163.871667	3876
141	3213	3876	2159.729922	3876
142	3213	3876	2153.961775	3876
143	3213	3876	2150.25531	3876
144	3214	3876	2147.009404	3876
145	3214	3876	2141.656307	3876
146	3214	3876	2135.937654	3876
147	3214	3876	2129.636322	3876
148	3214	3876	2126.338733	3876
149	3216	3876	2123.99069	3876
150	3215	3876	2120.726937	3876
151	3215	3876	2116.705113	3876
152	3216	3876	2111.809672	3876
153	3216	3876	2106.712935	3876
154	3217	3876	2104.171263	3876
155	3217	3876	2101.608064	3876
156	3217	3876	2093.801945	3876
157	3217	3876	2089.393516	3876
158	3218	3876	2085.699657	3876
159	3219	3876	2082.618977	3876
160	3219	3876	2079.983678	3876
161	3218	3876	2073.553382	3876
162	3219	3876	2068.613731	3876
163	3219	3876	2064.700635	3876
164	3219	3876	2062.496847	3876
165	3218	3876	2057.753749	3876
166	3219	3876	2053.388067	3876
167	3219	3876	2050.996786	3876
168	3219	3876	2048.661619	3876
169	3220	3876	2045.512372	3876
170	3217	3876	2039.93403	3876
171	3218	3876	2035.78703	3876
172	3217	3876	2032.679461	3876
173	3221	3876	2030.443321	3876
174	3218	3876	2026.031414	3876
175	3221	3876	2023.87666	3876
176	3222	3876	2021.797622	3876
177	3222	3876	2017.4705	3876
178	3222	3876	2013.699494	3876
179	3220	3876	2009.526855	3876
180	3220	3876	2005.900168	3876
181	3220	3876	2001.741164	3876
182	3220	3876	1998.668768	3876
183	3221	3876	1994.227431	3876
184	3221	3876	1990.242719	3876
185	3221	3876	1988.405225	3876
186	3221	3876	1982.717596	3876
187	3221	3876	1978.526777	3876
188	3221	3876	1974.852862	3876
189	3218	3876	1971.367135	3876
190	3221	3876	1969.478592	3876
191	3223	3876	1965.41635	3876
192	3221	3876	1962.084966	3876
193	3224	3876	1957.143251	3876
194	3223	3876	1953.958412	3876
195	3225	3876	1950.327999	3876
196	3225	3876	1945.464923	3876
197	3225	3876	1943.712848	3876
198	3225	3876	1941.144346	3876
199	3225	3876	1937.444737	3876
200	3225	3876	1934.364782	3876
201	3225	3876	1931.80739	3876
202	3224	3876	1927.82927	3876
203	3225	3876	1922.476617	3876
204	3225	3876	1919.143926	3876
205	3225	3876	1916.215394	3876
206	3224	3876	1913.08958	3876
207	3225	3876	1908.630369	3876
208	3224	3876	1905.912031	3876
209	3224	3876	1902.674591	3876
210	3224	3876	1900.79589	3876
211	3224	3876	1898.820478	3876
212	3223	3876	1895.614579	3876
213	3225	3876	1892.400341	3876
214	3226	3876	1890.539522	3876
215	3226	3876	1888.318143	3876
216	3225	3876	1885.651929	3876
217	3228	3876	1882.375187	3876
218	3227	3876	1879.559005	3876
219	3228	3876	1877.612508	3876
220	3231	3876	1874.046668	3876
221	3231	3876	1871.614732	3876
222	3227	3876	1869.831631	3876
223	3229	3876	1868.165054	3876
224	3229	3876	1866.086008	3876
225	3228	3876	1862.853964	3876
226	3228	3876	1860.779886	3876
227	3228	3876	1858.606485	3876
228	3228	3876	1856.281414	3876
229	3224	3876	1853.601588	3876
230	3227	3876	1851.950541	3876
231	3227	3876	1849.87789	3876
232	3227	3876	1844.725967	3876
233	3226	3876	1842.069915	3876
234	3227	3876	1839.976005	3876
235	3226	3876	1838.350659	3876
236	3226	3876	1836.701379	3876
237	3226	3876	1833.150785	3876
238	3226	3876	1831.165506	3876
239	3226	3876	1829.576045	3876
240	3226	3876	1826.647713	3876
241	3226	3876	1824.687263	3876
242	3226	3876	1822.034538	3876
243	3229	3876	1818.733149	3876
244	3229	3876	1817.096374	3876
245	3228	3876	1815.343259	3876
246	3228	3876	1813.293922	3876
247	3228	3876	1811.288566	3876
248	3228	3876	1808.963371	3876
249	3228	3876	1807.092767	3876
250	3228	3876	1804.453099	3876
251	3227	3876	1800.959544	3876
252	3227	3876	1798.67069	3876
253	3227	3876	1796.516483	3876
254	3227	3876	1794.414847	3876
255	3227	3876	1790.284418	3876
256	3227	3876	1788.417746	3876
257	3227	3876	1785.84388	3876
258	3229	3876	1782.946285	3876
259	3229	3876	1780.994233	3876
260	3230	3876	1779.077923	3876
261	3229	3876	1776.641952	3876
262	3229	3876	1774.760447	3876
263	3228	3876	1772.354122	3876
264	3228	3876	1769.988502	3876
265	3231	3876	1767.303512	3876
266	3229	3876	1765.335703	3876
267	3229	3876	1763.668289	3876
268	3230	3876	1762.199948	3876
269	3230	3876	1759.068766	3876
270	3229	3876	1756.089927	3876
271	3229	3876	1754.672271	3876
272	3229	3876	1753.051126	3876
273	3228	3876	1750.883018	3876
274	3228	3876	1749.2723	3876
275	3229	3876	1745.05818	3876
276	3229	3876	1743.47166	3876
277	3229	3876	1741.274085	3876
278	3229	3876	1739.804414	3876
279	3229	3876	1738.287638	3876
280	3228	3876	1736.728043	3876
281	3228	3876	1734.998154	3876
282	3228	3876	1733.20709	3876
283	3228	3876	1731.450557	3876
284	3228	3876	1729.725438	3876
285	3232	3876	1725.087087	3876
286	3230	3876	1722.519536	3876
287	3230	3876	1719.637816	3876
288	3230	3876	1718.123585	3876
289	3231	3876	1716.021786	3876
290	3231	3876	1714.685568	3876
291	3231	3876	1712.778398	3876
292	3232	3876	1711.424819	3876
293	3232	3876	1708.748988	3876
294	3232	3876	1706.017288	3876
295	3230	3876	1704.029537	3876
296	3230	3876	1702.184673	3876
297	3231	3876	1699.336016	3876
298	3230	3876	1697.474156	3876
299	3229	3876	1695.983754	3876
300	3230	3876	1694.562183	3876
301	3230	3876	1693.122677	3876
302	3230	3876	1691.847971	3876
303	3230	3876	1690.495121	3876
304	3230	3876	1687.798239	3876
305	3230	3876	1684.949959	3876
306	3230	3876	1683.585726	3876
307	3230	3876	1682.227359	3876
308	3230	3876	1680.9037	3876
309	3230	3876	1678.222914	3876
310	3230	3876	1676.887935	3876
311	3230	3876	1674.862551	3876
312	3230	3876	1672.831028	3876
313	3230	3876	1671.45629	3876
314	3230	3876	1670.131808	3876
315	3230	3876	1667.414777	3876
316	3230	3876	1665.578294	3876
317	3230	3876	1664.362469	3876
318	3230	3876	1663.001482	3876
319	3230	3876	1660.603081	3876
320	3230	3876	1659.296265	3876
321	3231	3876	1657.160394	3876
322	3231	3876	1654.80348	3876
323	3231	3876	1653.451303	3876
324	3230	3876	1652.147111	3876
325	3230	3876	1648.47347	3876
326	3230	3876	1647.082226	3876
327	3230	3876	1644.805887	3876
328	3230	3876	1643.047741	3876
329	3230	3876	1641.850473	3876
330	3230	3876	1640.655413	3876
331	3229	3876	1639.383114	3876
332	3229	3876	1638.266246	3876
333	3229	3876	1637.026031	3876
334	3229	3876	1634.785378	3876
335	3229	3876	1631.780999	3876
336	3229	3876	1630.712181	3876
337	3229	3876	1629.558508	3876
338	3231	3876	1625.725833	3876
339	3231	3876	1624.461122	3876
340	3231	3876	1623.241696	3876
341	3231	3876	1621.738014	3876
342	3231	3876	1620.470109	3876
343	3231	3876	1619.272797	3876
344	3231	3876	1617.789289	3876
345	3230	3876	1616.112744	3876
346	3231	3876	1614.388258	3876
347	3231	3876	1613.359558	3876
348	3231	3876	1612.33172	3876
349	3231	3876	1611.245644	3876
350	3231	3876	1609.324533	3876
351	3231	3876	1608.291673	3876
352	3231	3876	1607.208616	3876
353	3230	3876	1606.0594	3876
354	3230	3876	1604.196729	3876
355	3230	3876	1603.084157	3876
356	3230	3876	1601.965638	3876
357	3229	3876	1600.830212	3876
358	3229	3876	1599.629213	3876
359	3229	3876	1597.135539	3876
360	3229	3876	1594.800429	3876
361	3229	3876	1593.860115	3876
362	3229	3876	1589.97087	3876
363	3229	3876	1588.365879	3876
364	3229	3876	1587.352573	3876
365	3229	3876	1586.330883	3876
366	3229	3876	1584.949241	3876
367	3229	3876	1583.424505	3876
368	3229	3876	1582.397718	3876
369	3229	3876	1580.264711	3876
370	3228	3876	1578.799488	3876
371	3228	3876	1577.810999	3876
372	3228	3876	1576.829104	3876
373	3230	3876	1574.320301	3876
374	3230	3876	1572.946803	3876
375	3230	3876	1571.927063	3876
376	3230	3876	1569.913905	3876
377	3230	3876	1568.530876	3876
378	3230	3876	1567.549567	3876
379	3230	3876	1566.248689	3876
380	3231	3876	1565.11011	3876
381	3230	3876	1563.18213	3876
382	3230	3876	1562.205558	3876
383	3230	3876	1560.999087	3876
384	3230	3876	1559.707721	3876
385	3230	3876	1558.709477	3876
386	3230	3876	1556.810648	3876
387	3230	3876	1555.131044	3876
388	3230	3876	1554.086337	3876
389	3230	3876	1552.594554	3876
390	3230	3876	1550.399739	3876
391	3230	3876	1549.304789	3876
392	3230	3876	1548.42119	3876
393	3230	3876	1547.332703	3876
394	3229	3876	1546.246864	3876
395	3229	3876	1545.073969	3876
396	3229	3876	1543.906126	3876
397	3230	3876	1542.619548	3876
398	3230	3876	1541.430518	3876
399	3230	3876	1540.51858	3876
400	3229	3876	1539.57238	3876
401	3230	3876	1538.652335	3876
402	3230	3876	1537.747144	3876
403	3231	3876	1535.288377	3876
404	3231	3876	1534.406248	3876
405	3231	3876	1533.53647	3876
406	3231	3876	1532.677796	3876
407	3231	3876	1531.829142	3876
408	3231	3876	1531.066361	3876
409	3231	3876	1529.409506	3876
410	3231	3876	1528.428472	3876
411	3231	3876	1526.986873	3876
412	3231	3876	1525.850384	3876
413	3231	3876	1524.787555	3876
414	3230	3876	1523.376909	3876
415	3230	3876	1522.609602	3876
416	3230	3876	1521.584473	3876
417	3230	3876	1520.546701	3876
418	3230	3876	1518.093249	3876
419	3230	3876	1517.053903	3876
420	3231	3876	1515.926761	3876
421	3231	3876	1514.912706	3876
422	3232	3876	1513.978857	3876
423	3230	3876	1512.955602	3876
424	3230	3876	1511.968738	3876
425	3230	3876	1511.077826	3876
426	3231	3876	1510.011147	3876
427	3231	3876	1509.04265	3876
428	3231	3876	1508.203919	3876
429	3231	3876	1507.219083	3876
430	3231	3876	1505.199434	3876
431	3231	3876	1504.309507	3876
432	3231	3876	1502.110849	3876
433	3231	3876	1501.21327	3876
434	3231	3876	1500.336012	3876
435	3230	3876	1499.516337	3876
436	3230	3876	1498.703907	3876
437	3230	3876	1497.826852	3876
438	3230	3876	1496.969215	3876
439	3230	3876	1496.129406	3876
440	3230	3876	1495.305996	3876
441	3230	3876	1494.312613	3876
442	3230	3876	1493.052384	3876
443	3230	3876	1492.24069	3876
444	3230	3876	1491.44453	3876
445	3230	3876	1490.662671	3876
446	3230	3876	1489.736415	3876
447	3230	3876	1488.962623	3876
448	3230	3876	1487.732875	3876
449	3230	3876	1486.841656	3876
450	3231	3876	1484.388766	3876
451	3231	3876	1483.694823	3876
452	3231	3876	1482.772083	3876
453	3230	3876	1482.159959	3876
454	3230	3876	1481.442977	3876
455	3231	3876	1480.590041	3876
456	3230	3876	1479.714298	3876
457	3230	3876	1477.956332	3876
458	3231	3876	1477.062448	3876
459	3231	3876	1476.258687	3876
460	3231	3876	1474.94423	3876
461	3232	3876	1474.142818	3876
462	3231	3876	1473.425837	3876
463	3231	3876	1472.682255	3876
464	3231	3876	1471.816128	3876
465	3230	3876	1471.029986	3876
466	3230	3876	1470.309986	3876
467	3230	3876	1469.52178	3876
468	3230	3876	1468.814931	3876
469	3230	3876	1468.122915	3876
470	3231	3876	1467.241544	3876
471	3231	3876	1465.50562	3876
472	3231	3876	1464.266853	3876
473	3231	3876	1463.596874	3876
474	3231	3876	1462.87196	3876
475	3231	3876	1462.15168	3876
476	3231	3876	1461.190428	3876
477	3231	3876	1460.57819	3876
478	3232	3876	1459.865789	3876
479	3232	3876	1459.092041	3876
480	3232	3876	1458.426916	3876
481	3232	3876	1457.495776	3876
482	3231	3876	1456.842964	3876
483	3231	3876	1455.855623	3876
484	3231	3876	1453.996025	3876
485	3231	3876	1453.142675	3876
486	3231	3876	1452.506141	3876
487	3231	3876	1451.871036	3876
488	3232	3876	1451.174499	3876
489	3232	3876	1450.547217	3876
490	3231	3876	1449.803569	3876
491	3231	3876	1449.192727	3876
492	3231	3876	1448.74991	3876
493	3231	3876	1447.333253	3876
494	3231	3876	1446.845688	3876
495	3231	3876	1446.185493	3876
496	3231	3876	1445.505197	3876
497	3231	3876	1444.852928	3876
498	3231	3876	1444.246448	3876
499	3231	3876	1443.615553	3876
500	3231	3876	1443.001297	3876
501	3231	3876	1441.901743	3876
502	3231	3876	1441.167519	3876
503	3231	3876	1440.499248	3876
504	3231	3876	1439.881782	3876
505	3231	3876	1438.761894	3876
506	3232	3876	1438.176296	3876
507	3232	3876	1437.551496	3876
508	3232	3876	1436.96477	3876
509	3231	3876	1436.367179	3876
510	3231	3876	1435.787877	3876
511	3232	3876	1435.14359	3876
512	3231	3876	1433.357217	3876
513	3231	3876	1432.776838	3876
514	3231	3876	1432.175318	3876
515	3231	3876	1431.585388	3876
516	3231	3876	1431.041428	3876
517	3231	3876	1430.50844	3876
518	3232	3876	1429.884991	3876
519	3232	3876	1429.315114	3876
520	3232	3876	1428.749209	3876
521	3232	3876	1428.185445	3876
522	3232	3876	1427.664427	3876
523	3232	3876	1427.109586	3876
524	3232	3876	1426.357604	3876
525	3232	3876	1425.797534	3876
526	3233	3876	1425.046206	3876
527	3232	3876	1424.640745	3876
528	3232	3876	1424.089934	3876
529	3232	3876	1423.40048	3876
530	3232	3876	1422.930514	3876
531	3232	3876	1422.246874	3876
532	3232	3876	1421.74644	3876
533	3232	3876	1421.205978	3876
534	3232	3876	1420.745432	3876
535	3232	3876	1420.003152	3876
536	3232	3876	1419.453707	3876
537	3232	3876	1418.809675	3876
538	3232	3876	1418.326649	3876
539	3232	3876	1417.301567	3876
540	3232	3876	1416.744688	3876
541	3232	3876	1416.223381	3876
542	3232	3876	1415.865232	3876
543	3232	3876	1415.352981	3876
544	3232	3876	1414.892037	3876
545	3232	3876	1414.438761	3876
546	3232	3876	1413.992483	3876
547	3232	3876	1413.317722	3876
548	3231	3876	1412.864483	3876
549	3231	3876	1412.381941	3876
550	3231	3876	1411.835118	3876
551	3231	3876	1411.348238	3876
552	3231	3876	1410.846216	3876
553	3231	3876	1410.397815	3876
554	3231	3876	1410.051248	3876
555	3231	3876	1408.770017	3876
556	3232	3876	1408.257455	3876
557	3232	3876	1406.944618	3876
558	3232	3876	1406.500478	3876
559	3233	3876	1406.054011	3876
560	3233	3876	1405.626434	3876
561	3233	3876	1405.183257	3876
562	3232	3876	1404.776496	3876
563	3232	3876	1404.33884	3876
564	3231	3876	1403.446019	3876
565	3232	3876	1402.936055	3876
566	3232	3876	1402.523093	3876
567	3232	3876	1402.120289	3876
568	3231	3876	1401.621309	3876
569	3231	3876	1400.213557	3876
570	3231	3876	1399.834074	3876
571	3231	3876	1399.416899	3876
572	3231	3876	1399.008516	3876
573	3232	3876	1398.63387	3876
574	3232	3876	1398.124374	3876
575	3232	3876	1397.73064	3876
576	3232	3876	1397.2783	3876
577	3232	3876	1396.868205	3876
578	3232	3876	1396.093388	3876
579	3231	3876	1395.40563	3876
580	3231	3876	1395.044511	3876
581	3231	3876	1394.691097	3876
582	3231	3876	1394.262235	3876
583	3231	3876	1393.920056	3876
584	3231	3876	1393.583942	3876
585	3231	3876	1393.104264	3876
586	3232	3876	1392.668238	3876
587	3232	3876	1392.307684	3876
588	3232	3876	1392.006159	3876
589	3232	3876	1391.649604	3876
590	3233	3876	1390.446123	3876
591	3233	3876	1389.684025	3876
592	3233	3876	1389.462038	3876
593	3233	3876	1389.126348	3876
594	3233	3876	1388.762392	3876
595	3233	3876	1388.406495	3876
596	3233	3876	1388.05817	3876
597	3233	3876	1387.669445	3876
598	3233	3876	1387.299277	3876
599	3233	3876	1386.906318	3876
600	3233	3876	1386.591247	3876
601	3233	3876	1386.247803	3876
602	3233	3876	1385.82875	3876
603	3233	3876	1385.51693	3876
604	3232	3876	1384.892441	3876
605	3232	3876	1384.556902	3876
606	3232	3876	1384.228201	3876
607	3232	3876	1383.907875	3876
608	3233	3876	1383.227444	3876
609	3233	3876	1382.934032	3876
610	3232	3876	1381.878625	3876
611	3232	3876	1381.608834	3876
612	3232	3876	1381.214934	3876
613	3232	3876	1380.990945	3876
614	3232	3876	1380.403931	3876
615	3232	3876	1380.150758	3876
616	3232	3876	1379.810264	3876
617	3232	3876	1379.527516	3876
618	3232	3876	1379.235103	3876
619	3232	3876	1378.985877	3876
620	3232	3876	1378.70429	3876
621	3233	3876	1378.337938	3876
622	3233	3876	1378.053489	3876
623	3234	3876	1377.64741	3876
624	3234	3876	1377.31631	3876
625	3233	3876	1376.117127	3876
626	3233	3876	1375.859815	3876
627	3233	3876	1375.431288	3876
628	3233	3876	1375.105108	3876
629	3233	3876	1374.798844	3876
630	3233	3876	1374.556754	3876
631	3233	3876	1374.249048	3876
632	3234	3876	1374.045474	3876
633	3234	3876	1373.822	3876
634	3234	3876	1373.535882	3876
635	3234	3876	1373.259351	3876
636	3234	3876	1372.965471	3876
637	3232	3876	1372.179317	3876
638	3232	3876	1371.948082	3876
639	3232	3876	1371.645826	3876
640	3232	3876	1371.360405	3876
641	3232	3876	1371.083475	3876
642	3232	3876	1370.738944	3876
643	3232	3876	1369.744076	3876
644	3232	3876	1369.625319	3876
645	3232	3876	1369.405314	3876
646	3232	3876	1369.293794	3876
647	3232	3876	1369.021507	3876
648	3232	3876	1368.737138	3876
649	3232	3876	1368.364219	3876
650	3232	3876	1368.121849	3876
651	3232	3876	1367.868412	3876
652	3232	3876	1367.617115	3876
653	3231	3876	1367.137719	3876
654	3231	3876	1366.986362	3876
655	3231	3876	1366.750542	3876
656	3231	3876	1366.522079	3876
657	3231	3876	1366.212611	3876
658	3231	3876	1365.981511	3876
659	3231	3876	1365.75767	3876
660	3231	3876	1365.54042	3876
661	3231	3876	1365.310904	3876
662	3232	3876	1364.49229	3876
663	3232	3876	1364.28747	3876
664	3232	3876	1364.087902	3876
665	3232	3876	1363.808286	3876
666	3232	3876	1362.924456	3876
667	3232	3876	1362.76225	3876
668	3232	3876	1362.58529	3876
669	3232	3876	1362.391859	3876
670	3232	3876	1362.019926	3876
671	3232	3876	1361.814923	3876
672	3232	3876	1360.913849	3876
673	3232	3876	1360.732629	3876
674	3232	3876	1360.400992	3876
675	3232	3876	1360.197492	3876
676	3232	3876	1360.051249	3876
677	3232	3876	1359.860114	3876
678	3232	3876	1359.628178	3876
679	3232	3876	1359.416245	3876
680	3232	3876	1359.207811	3876
681	3232	3876	1358.788905	3876
682	3232	3876	1358.588375	3876
683	3232	3876	1358.456709	3876
684	3232	3876	1358.212933	3876
685	3232	3876	1358.012232	3876
686	3233	3876	1357.864954	3876
687	3233	3876	1357.754927	3876
688	3233	3876	1357.655095	3876
689	3233	3876	1357.463487	3876
690	3233	3876	1357.31252	3876
691	3233	3876	1357.168967	3876
692	3233	3876	1356.980022	3876
693	3233	3876	1356.779384	3876
694	3233	3876	1356.602447	3876
695	3233	3876	1356.488984	3876
696	3233	3876	1356.445934	3876
697	3232	3876	1356.057185	3876
698	3232	3876	1355.883499	3876
699	3232	3876	1355.716938	3876
700	3232	3876	1355.543963	3876
701	3232	3876	1355.351421	3876
702	3232	3876	1355.189193	3876
703	3232	3876	1355.020558	3876
704	3232	3876	1354.270417	3876
705	3232	3876	1354.067382	3876
706	3232	3876	1353.901419	3876
707	3232	3876	1353.261946	3876
708	3232	3876	1353.108308	3876
709	3232	3876	1352.97255	3876
710	3232	3876	1352.823018	3876
711	3233	3876	1352.661607	3876
712	3233	3876	1352.519706	3876
713	3233	3876	1352.381311	3876
714	3233	3876	1352.239968	3876
715	3233	3876	1352.130217	3876
716	3233	3876	1351.991934	3876
717	3234	3876	1351.793109	3876
718	3234	3876	1351.750357	3876
719	3233	3876	1351.616201	3876
720	3233	3876	1351.491516	3876
721	3233	3876	1351.412997	3876
722	3233	3876	1351.279775	3876
723	3233	3876	1349.971367	3876
724	3233	3876	1349.846454	3876
725	3233	3876	1349.673545	3876
726	3233	3876	1349.411876	3876
727	3234	3876	1349.279177	3876
728	3233	3876	1349.153943	3876
729	3232	3876	1349.170524	3876
730	3232	3876	1348.866934	3876
731	3232	3876	1348.770314	3876
732	3232	3876	1348.678559	3876
733	3232	3876	1348.57162	3876
734	3232	3876	1348.346505	3876
735	3232	3876	1348.316539	3876
736	3232	3876	1348.211214	3876
737	3232	3876	1348.075679	3876
738	3232	3876	1347.929235	3876
739	3232	3876	1347.830878	3876
740	3232	3876	1347.815295	3876
741	3232	3876	1347.728955	3876
742	3233	3876	1347.4981	3876
743	3233	3876	1347.37953	3876
744	3233	3876	1347.244544	3876
745	3233	3876	1347.147808	3876
746	3233	3876	1347.152955	3876
747	3233	3876	1347.06017	3876
748	3233	3876	1346.516437	3876
749	3233	3876	1346.395873	3876
750	3233	3876	1346.307746	3876
751	3233	3876	1346.329093	3876
752	3233	3876	1346.243382	3876
753	3233	3876	1346.118035	3876
754	3233	3876	1345.934251	3876
755	3233	3876	1345.775288	3876
756	3232	3876	1345.773247	3876
757	3232	3876	1345.753259	3876
758	3232	3876	1345.652602	3876
759	3232	3876	1345.567807	3876
760	3232	3876	1345.576153	3876
761	3232	3876	1345.582604	3876
762	3232	3876	1345.09939	3876
763	3232	3876	1345.017729	3876
764	3232	3876	1345.021987	3876
765	3232	3876	1344.941083	3876
766	3232	3876	1344.80645	3876
767	3234	3876	1344.658966	3876
768	3234	3876	1344.792313	3876
769	3234	3876	1344.71235	3876
770	3234	3876	1344.829364	3876
771	3234	3876	1344.740178	3876
772	3234	3876	1344.669364	3876
773	3234	3876	1344.602972	3876
774	3234	3876	1344.603708	3876
775	3234	3876	1344.533461	3876
776	3234	3876	1344.219624	3876
777	3233	3876	1344.128939	3876
778	3233	3876	1344.155465	3876
779	3233	3876	1344.094449	3876
780	3233	3876	1343.761443	3876
781	3233	3876	1343.707599	3876
782	3232	3876	1343.548551	3876
783	3232	3876	1343.480332	3876
784	3232	3876	1343.396737	3876
785	3232	3876	1343.299188	3876
786	3232	3876	1343.228903	3876
787	3232	3876	1343.119293	3876
788	3232	3876	1343.067215	3876
789	3232	3876	1343.019028	3876
790	3232	3876	1342.966982	3876
791	3233	3876	1342.45981	3876
792	3232	3876	1342.424653	3876
793	3232	3876	1342.49827	3876
794	3232	3876	1342.486566	3876
795	3232	3876	1342.322162	3876
796	3232	3876	1342.223081	3876
797	3233	3876	1342.093906	3876
798	3233	3876	1342.051313	3876
799	3233	3876	1342.087317	3876
800	3233	3876	1341.758059	3876
801	3233	3876	1341.65814	3876
802	3233	3876	1341.65736	3876
803	3233	3876	1341.552019	3876
804	3233	3876	1341.514082	3876
805	3233	3876	1341.442249	3876
806	3232	3876	1341.646415	3876
807	3232	3876	1341.657373	3876
808	3232	3876	1341.649674	3876
809	3232	3876	1341.655611	3876
810	3232	3876	1341.59504	3876
811	3232	3876	1341.601881	3876
812	3232	3876	1341.46626	3876
813	3232	3876	1341.434229	3876
814	3232	3876	1341.308986	3876
815	3232	3876	1341.19191	3876
816	3232	3876	1341.205228	3876
817	3233	3876	1340.886436	3876
